Facility,total_ops,total_num_delays,avg_min,total_min
PMP,132489,0,0.0,0
PNE,56626,0,0.0,0
PNG,0,0,0.0,0
PNS,114260,0,0.0,0
POC,87701,0,0.0,0
POU,58613,3,34.7,104
PQI,0,0,0.0,0
PRC,232730,0,0.0,0
PSC,46096,2,35.5,71
PSK,0,0,0.0,0
PSM,0,0,0.0,0
PSO,0,0,0.0,0
PSP,51814,12,17.8,213
PTK,131340,0,0.0,0
PTT,0,0,0.0,0
PUB,176649,0,0.0,0
PUW,0,0,0.0,0
PVD,72595,19,65.4,1242
PVU,86223,1,18.0,18
PWA,51830,0,0.0,0
PWK,75918,0,0.0,0
PWM,51805,0,0.0,0
PYM,0,0,0.0,0
R90,206438,0,0.0,0
RAL,99729,6,18.5,111
RAP,45924,0,0.0,0
RBD,43215,1,18.0,18
RDD,95515,0,0.0,0
RDG,49288,0,0.0,0
RDM,41936,12,20.4,245
RDU,202348,12,42.8,513
RFD,39462,0,0.0,0
RHV,162648,23,20.3,466
RIC,96675,7,57.0,399
RIL,0,0,0.0,0
RIV,0,0,0.0,0
RIW,0,0,0.0,0
RJAA,0,0,0.0,0
RJTY,0,0,0.0,0
RKS,0,0,0.0,0
RKSI,0,0,0.0,0
RME,23533,0,0.0,0
RNM,102715,0,0.0,0
RNO,84808,5,38.0,190
RNT,135287,0,0.0,0
RNV,0,0,0.0,0
ROA,51474,2,23.0,46
ROC,87271,0,0.0,0
ROG,12426,0,0.0,0
ROW,25546,0,0.0,0
RQE,0,0,0.0,0
RST,39063,2,17.0,34
RSW,82643,86,30.7,2638
RTN,0,0,0.0,0
RUT,0,0,0.0,0
RVS,180118,0,0.0,0
RWI,0,0,0.0,0
RWL,0,0,0.0,0
RXE,0,0,0.0,0
RYN,102638,0,0.0,0
RYY,62087,0,0.0,0
S39,0,0,0.0,0
S46,593465,126,20.7,2602
S52,0,0,0.0,0
S56,437591,1,29.0,29
SAC,105875,1,27.0,27
SAF,59441,1,29.0,29
SAN,209563,814,35.1,28582
SAT,161036,21,31.0,650
SAV,94827,0,0.0,0
SAW,16687,0,0.0,0
SBA,93229,6,21.5,129
SBGL,0,0,0.0,0
SBM,0,0,0.0,0
SBN,41603,0,0.0,0
SBP,73069,1,27.0,27
SBY,42951,0,0.0,0
SCC,0,0,0.0,0
SCK,79804,0,0.0,0
SCT,2206592,447,26.9,12023
SDF,163676,8,50.1,401
SDL,168131,102,20.5,2086
SDM,83733,10,21.2,212
SDP,0,0,0.0,0
SDY,0,0,0.0,0
SEA,416136,11095,39.2,434635
SEE,221139,24,23.7,568
SEG,0,0,0.0,0
SEGU,0,0,0.0,0
SEZ,0,0,0.0,0
SFB,306248,1,103.0,103
SFF,60084,0,0.0,0
SFL,0,0,0.0,0
SFO,460346,34070,70.7,2407679
SGF,56585,0,0.0,0
SGJ,133296,0,0.0,0
SGR,69877,0,0.0,0
SGU,0,0,0.0,0
SHR,0,0,0.0,0
SHV,38042,1,25.0,25
SIG,92308,2,30.0,60
SIT,0,0,0.0,0
SJC,178595,4,19.0,76
SJT,75860,0,0.0,0
SJU,141909,0,0.0,0
SKA,0,0,0.0,0
SKBO,0,0,0.0,0
SKF,0,0,0.0,0
SKRG,0,0,0.0,0
SLC,327292,139,25.7,3574
SLE,35842,0,0.0,0
SLK,0,0,0.0,0
SLN,60629,0,0.0,0
SMF,118785,1,37.0,37
SMO,77594,884,23.5,20779
SMX,38434,0,0.0,0
SNA,310606,400,19.4,7776
SNP,0,0,0.0,0
SNS,58228,0,0.0,0
SOW,0,0,0.0,0
SPG,93016,0,0.0,0
SPI,28506,0,0.0,0
SPJC,0,0,0.0,0
SQL,104106,136,23.2,3149
SRB,0,0,0.0,0
SRQ,102675,2,160.0,320
SRR,0,0,0.0,0
SSF,100670,0,0.0,0
SSI,0,0,0.0,0
STC,26320,0,0.0,0
STJ,21378,0,0.0,0
STL,196405,1,22.0,22
STP,40489,0,0.0,0
STS,84589,0,0.0,0
STT,52500,0,0.0,0
STX,27065,0,0.0,0
SUA,105359,2,24.0,48
SUN,24940,78,77.0,6005
SUS,97636,0,0.0,0
SUX,17840,1,27.0,27
SVA,0,0,0.0,0
SVC,0,0,0.0,0
SW1,0,0,0.0,0
SWF,43263,0,0.0,0
SWO,77134,0,0.0,0
SYR,68360,1,21.0,21
T75,323173,0,0.0,0
TAPA,0,0,0.0,0
TBPB,0,0,0.0,0
TCL,47262,0,0.0,0
TEB,178363,8521,47.1,401241
TEX,0,0,0.0,0
TFFF,0,0,0.0,0
TFFR,0,0,0.0,0
TGPY,0,0,0.0,0
TISX,0,0,0.0,0
TIW,88617,0,0.0,0
TIX,76733,0,0.0,0
TJBQ,0,0,0.0,0
TJPS,0,0,0.0,0
TJSJ,0,0,0.0,0
TKI,136248,7,21.6,151
TKPK,0,0,0.0,0
TLH,66245,0,0.0,0
TLPL,0,0,0.0,0
TMB,297403,0,0.0,0
TNCA,0,0,0.0,0
TNCC,0,0,0.0,0
TNCM,0,0,0.0,0
TNP,0,0,0.0,0
TOA,105707,3,28.7,86
TOL,30312,29,25.3,734
TOP,23728,0,0.0,0
TPA,195489,30,43.6,1307
TQPF,0,0,0.0,0
TRI,37331,0,0.0,0
TRK,0,0,0.0,0
TRM,0,0,0.0,0
TTD,117824,12,17.7,212
TTN,95989,0,0.0,0
TUL,109209,0,0.0,0
TUP,57895,0,0.0,0
TUS,129347,0,0.0,0
TVC,74103,0,0.0,0
TVL,0,0,0.0,0
TWF,25621,0,0.0,0
TXK,25704,0,0.0,0
TXKF,0,0,0.0,0
TYR,35929,0,0.0,0
TYS,106584,3,52.0,156
TZR,17616,0,0.0,0
U42,0,0,0.0,0
U90,190647,0,0.0,0
UAO,58152,4,17.5,70
UES,33543,0,0.0,0
UGN,41064,0,0.0,0
UNKW,0,0,0.0,0
UNV,29908,1,25.0,25
UOX,0,0,0.0,0
UUU,0,0,0.0,0
VBW,0,0,0.0,0
VCT,59308,0,0.0,0
VCV,31530,0,0.0,0
VDZ,0,0,0.0,0
VEL,0,0,0.0,0
VGT,177298,0,0.0,0
VLD,0,0,0.0,0
VNY,224398,146,22.2,3234
VPS,0,0,0.0,0
VQQ,71173,0,0.0,0
VRB,207583,0,0.0,0
W107,0,0,0.0,0
W72,0,0,0.0,0
WDG,33092,0,0.0,0
WHP,86748,1,22.0,22
WJF,53090,0,0.0,0
WRB,0,0,0.0,0
WRL,0,0,0.0,0
WYS,0,0,0.0,0
XG9,0,0,0.0,0
XNA,46959,0,0.0,0
Y90,202938,0,0.0,0
YAK,0,0,0.0,0
YIP,62675,0,0.0,0
YKM,36358,2,61.5,123
YNG,26186,0,0.0,0
ZAB,1571468,1149,22.7,26127
ZAN,603226,131,29.6,3882
ZAU,2438055,7393,28.7,212148
ZBW,1559324,3134,23.7,74352
ZDC,2554410,17551,35.9,629386
ZDV,1828575,2140,27.8,59545
ZEF,0,0,0.0,0
ZFW,2319285,8363,30.4,254567
ZHN,0,1,17.0,17
ZHU,2266553,4298,31.4,135155
ZID,2082165,982,27.2,26674
ZJX,2515959,11843,54.5,644960
ZKC,1801888,559,24.9,13923
ZLA,2255026,5468,30.3,165616
