the_geom,f_code,iko,ita,name,cartodb_id,zv3,created_at,updated_at,use,right_total
0101000020E6100000A76F99D3656B56C0637AC2120FEC4340,GB005,KSPI,SPI,ABRAHAM LINCOLN CAPITAL AIRPORT,549,182,9/8/2014,9/8/2014,0,20215
0101000020E6100000C83B873254EE53C0187AC4E8B9174140,GB005,KFLO,FLO,FLORENCE REGIONAL AIRPORT,556,45,9/8/2014,9/8/2014,0,12824
0101000020E6100000D1393FC571CC5CC050BB5F05F81A4240,GB005,KVGT,VGT,NORTH LAS VEGAS AIRPORT,560,672,9/8/2014,9/8/2014,0,79233
0101000020E6100000D386C3D2C04E58C0EE6FD05E7D9C3F40,GB005,KACT,ACT,WACO REGIONAL AIRPORT,562,157,9/8/2014,9/8/2014,0,33135
0101000020E610000035AD1402B99D5AC04D62105839744540,GB005,KCPR,CPR,CASPER/NATRONA COUNTY INTERNATIONAL AIRPORT,565,1631,9/8/2014,9/8/2014,23,25875
0101000020E6100000249012BBB6A354C0DFC2BAF1EE2E4340,GB005,KHTS,HTS,TRI-STATE/MILTON J. FERGUSON FIELD,572,252,9/8/2014,9/8/2014,0,10676
0101000020E610000022C7D633849757C0DDB1D82615AB4140,GB005,KFSM,FSM,FORT SMITH REGIONAL AIRPORT,573,143,9/8/2014,9/8/2014,0,25156
0101000020E610000036894160E5FE5BC01F82AAD1AB4D4740,GB005,KHLN,HLN,HELENA REGIONAL AIRPORT,574,1182,9/8/2014,9/8/2014,0,27847
0101000020E610000023A0C211A4EB58C00553CDACA5344040,GB005,KABI,ABI,ABILENE REGIONAL AIRPORT,576,546,9/8/2014,9/8/2014,0,32032
0101000020E6100000A3EA573A1F4B58C03ECA880B40F94740,GB005,KGFK,GFK,GRAND FORKS INTERNATIONAL AIRPORT,578,258,9/8/2014,9/8/2014,23,119556
0101000020E6100000E7DCED7A690257C0B5519D0E64414040,GB005,KMLU,MLU,MONROE REGIONAL AIRPORT,579,24,9/8/2014,9/8/2014,0,26199
0101000020E61000007C28D192C71156C0B680D07AF8044440,GB005,KCMI,CMI,UNIVERSITY OF ILLINOIS-WILLARD AIRPORT,583,230,9/8/2014,9/8/2014,0,22600
0101000020E61000001B2FDD2406B45EC00A83328D26414340,GB005,KSTS,STS,CHARLES M. SCHULZ - SONOMA COUNTY AIRPORT,585,39,9/8/2014,9/8/2014,0,56987
0101000020E61000003F709527103953C0BDFE243E77144540,GB005,KELM,ELM,ELMIRA/CORNING REGIONAL AIRPORT,586,291,9/8/2014,9/8/2014,0,12939
0101000020E6100000FD4AE7C3B3FE52C03AB187F6B11A4540,GB005,KBGM,BGM,GREATER BINGHAMTON/EDWIN A LINK FIELD,589,499,9/8/2014,9/8/2014,0,9288
0101000020E6100000E99C9FE2384656C0F8F4D89601194540,GB005,KRFD,RFD,CHICAGO/ROCKFORD INTERNATIONAL AIRPORT,591,226,9/8/2014,9/8/2014,23,30038
0101000020E61000000B42791F470B54C0E84A04AA7F0A4540,GB005,KERI,ERI,ERIE INTERNATIONAL/TOM RIDGE FIELD,596,223,9/8/2014,9/8/2014,23,15524
0101000020E61000004BE82E89B3F354C05D8C81751CCB4440,GB005,KTOL,TOL,TOLEDO EXPRESS AIRPORT,598,208,9/8/2014,9/8/2014,0,23728
0101000020E6100000BCC3EDD0B0C35DC04301DBC188B74140,GB005,KBFL,BFL,MEADOWS FIELD AIRPORT,604,155,9/8/2014,9/8/2014,0,44924
0101000020E610000084640113B8D75BC04CA4349BC7BD4740,GB005,KGTF,GTF,GREAT FALLS INTERNATIONAL AIRPORT,606,1122,9/8/2014,9/8/2014,23,25787
0101000020E6100000BB0ED594640C57C040C23060C96B4740,GB005,KDLH,DLH,DULUTH INTERNATIONAL AIRPORT,608,435,9/8/2014,9/8/2014,23,37374
0101000020E610000065C57075002057C091D6187442F44540,GB005,KRST,RST,ROCHESTER INTERNATIONAL AIRPORT,611,401,9/8/2014,9/8/2014,23,28687
0101000020E61000001D1F2DCE180555C0C03DCF9F36C44540,GB005,KMBS,MBS,MBS INTERNATIONAL AIRPORT,613,204,9/8/2014,9/8/2014,23,17091
0101000020E61000003B2D3F70953058C0F9BA0CFFE96C4440,GB005,KLNK,LNK,LINCOLN AIRPORT,614,372,9/8/2014,9/8/2014,0,42597
0101000020E6100000687A89B14C6355C065C57075001E4540,GB005,KAZO,AZO,KALAMAZOO/BATTLE CREEK INTERNATIONAL AIRPORT,615,266,9/8/2014,9/8/2014,23,26163
0101000020E61000008BE255D6369955C07973B8567B264040,GB005,KMGM,MGM,MONTGOMERY REGIONAL (DANNELLY FIELD) AIRPORT,618,67,9/8/2014,9/8/2014,0,45586
0101000020E61000007D3F355EBA7D54C0FBAC32535AAF4040,GB005,KAGS,AGS,AUGUSTA REGIONAL AT BUSH FIELD,619,44,9/8/2014,9/8/2014,0,25072
0101000020E61000007D3F355EBA2F59C02A73F38DE8624740,GB005,KBIS,BIS,BISMARCK MUNICIPAL AIRPORT,620,506,9/8/2014,9/8/2014,4,39829
0101000020E6100000D15D1267456555C01538D906EE5E4640,GB005,KTVC,TVC,CHERRY CAPITAL AIRPORT,621,190,9/8/2014,9/8/2014,0,43540
0101000020E6100000336E6AA0F9E155C0234E27D9EA044340,GB005,KEVV,EVV,EVANSVILLE REGIONAL AIRPORT,625,127,9/8/2014,9/8/2014,0,25453
0101000020E6100000DA58897956B853C0B189CC5CE07E4140,GB005,KFAY,FAY,FAYETTEVILLE REGIONAL/GRANNIS FIELD,626,58,9/8/2014,9/8/2014,0,24297
0101000020E610000067B5C01E139A54C07C2B1213D43C4240,GB005,KTRI,TRI,TRI-CITIES REGIONAL AIRPORT,627,463,9/8/2014,9/8/2014,0,27213
0101000020E6100000021764CBF2755EC04260E5D0224B4240,GB005,KMRY,MRY,MONTEREY PENINSULA AIRPORT,628,78,9/8/2014,9/8/2014,0,55541
0101000020E6100000DF8AC40435FF56C0068195438B343E40,GB005,KLFT,LFT,LAFAYETTE REGIONAL AIRPORT,629,13,9/8/2014,9/8/2014,0,38395
0101000020E610000045F12A6B9BB75AC0F1457BBC909C4340,GB005,KASE,ASE,ASPEN-PITKIN COUNTY/SARDY FIELD,632,2384,9/8/2014,9/8/2014,0,36647
0101000020E610000021C7D633842555C0EF315871AA634540,GB005,KLAN,LAN,CAPITAL CITY AIRPORT,633,262,9/8/2014,9/8/2014,0,30730
0101000020E6100000505260014CEE52C04D4EED0C53AB4440,GB005,KAVP,AVP,WILKES-BARRE/SCRANTON INTERNATIONAL AIRPORT,634,293,9/8/2014,9/8/2014,23,30785
0101000020E6100000BAD39D279EC75DC045B9347EE1214740,GB005,KPSC,PSC,TRI-CITIES AIRPORT,639,125,9/8/2014,9/8/2014,0,28424
0101000020E6100000BC8BF7E3F66554C05BEECC04C32F4340,GB005,KCRW,CRW,YEAGER AIRPORT,640,299,9/8/2014,9/8/2014,0,31284
0101000020E61000002970B20DDC8351C001A1F5F065A04440,GB005,KACK,ACK,NANTUCKET MEMORIAL AIRPORT,641,14,9/8/2014,9/8/2014,0,97283
0101000020E61000002E6CCD565E6C56C0387CD28904554440,GB005,KPIA,PIA,GREATER PEORIA REGIONAL AIRPORT,646,201,9/8/2014,9/8/2014,0,32091
0101000020E6100000B3B112F3ACA254C0105B7A34D5B74140,GB005,KAVL,AVL,ASHEVILLE REGIONAL AIRPORT,647,660,9/8/2014,9/8/2014,0,49244
0101000020E61000008A90BA9D7D4C55C09E060C923E7D4440,GB005,KFWA,FWA,FORT WAYNE INTERNATIONAL AIRPORT,648,248,9/8/2014,9/8/2014,23,32398
0101000020E610000089558330B74354C093FE5E0A0F2E3D40,GB005,KDAB,DAB,DAYTONA BEACH INTERNATIONAL AIRPORT,649,10,9/8/2014,9/8/2014,23,165996
0101000020E6100000F10D85CFD67457C055849B8C2A394040,GB005,KSHV,SHV,SHREVEPORT REGIONAL AIRPORT,650,79,9/8/2014,9/8/2014,0,35295
0101000020E6100000EF586C938A0F56C001E65AB400B13E40,GB005,KMOB,MOB,MOBILE REGIONAL AIRPORT,651,67,9/8/2014,9/8/2014,0,54793
0101000020E6100000605B3FFD67095CC0317E1AF7E6F94140,GB005,KGCN,GCN,GRAND CANYON NATIONAL PARK AIRPORT,654,2014,9/8/2014,9/8/2014,0,107345
0101000020E6100000E5B9BE0F074D55C0F981AB3C81844140,GB005,KCHA,CHA,LOVELL FIELD AIRPORT,656,208,9/8/2014,9/8/2014,0,53204
0101000020E610000098BD6C3B6DFE53C0C1E10511A9A94240,GB005,KROA,ROA,ROANOKE REGIONAL/WOODRUM FIELD AIRPORT,658,358,9/8/2014,9/8/2014,0,36508
0101000020E61000004450357A353458C0FD87F4DBD7754740,GB005,KFAR,FAR,HECTOR INTERNATIONAL AIRPORT,659,275,9/8/2014,9/8/2014,23,55499
0101000020E6100000B262B83A003551C0FBAC32535A674640,GB005,KBGR,BGR,BANGOR INTERNATIONAL AIRPORT,661,59,9/8/2014,9/8/2014,23,38217
0101000020E6100000433C122F4F9455C06327BC04A7DA4440,GB005,KSBN,SBN,SOUTH BEND REGIONAL AIRPORT,662,244,9/8/2014,9/8/2014,0,30940
0101000020E6100000BCEA01F390CD5EC09B51F355F20F4640,GB005,KEUG,EUG,MAHLON SWEET FIELD AIRPORT,663,114,9/8/2014,9/8/2014,0,40925
0101000020E6100000B96DDFA3FEAB54C0295C8FC2F5E83B40,GB005,KPIE,PIE,ST PETERSBURG-CLEARWATER INTERNATIONAL AIRPORT,664,3,9/8/2014,9/8/2014,23,70069
0101000020E6100000739CDB847B2F58C0666CE8667FCA4540,GB005,KFSD,FSD,JOE FOSS FIELD AIRPORT,665,436,9/8/2014,9/8/2014,0,64230
0101000020E6100000F06C8FDE70D260C0737FF5B86F2D4D40,GB005,PAJN,JNU,JUNEAU INTERNATIONAL AIRPORT,668,6,9/8/2014,9/8/2014,23,81983
0101000020E6100000CFBC1C76DF5857C06B5A2904729F4240,GB005,KSGF,SGF,SPRINGFIELD-BRANSON NATIONAL AIRPORT,669,386,9/8/2014,9/8/2014,0,45318
0101000020E610000048827005146058C0261DE56036C53B40,GB005,KCRP,CRP,CORPUS CHRISTI INTERNATIONAL AIRPORT,670,13,9/8/2014,9/8/2014,23,60696
0101000020E61000000B08AD872FDC52C06B0F7BA180534440,GB005,KABE,ABE,LEHIGH VALLEY INTERNATIONAL AIRPORT,671,120,9/8/2014,9/8/2014,23,45914
0101000020E61000006A6D1ADB6B1655C0C2F2E7DB82653E40,GB005,KTLH,TLH,TALLAHASSEE REGIONAL AIRPORT,673,25,9/8/2014,9/8/2014,0,52678
0101000020E6100000902FA182C37953C089997D1EA3224140,GB005,KILM,ILM,WILMINGTON INTERNATIONAL AIRPORT,674,10,9/8/2014,9/8/2014,23,47825
0101000020E610000097E4805D4D0856C0DEAE97A6083E4640,GB005,KGRB,GRB,AUSTIN STRAUBEL INTERNATIONAL AIRPORT,675,212,9/8/2014,9/8/2014,23,34494
0101000020E610000060E5D022DBF55DC02FE065868D364140,GB005,KSBA,SBA,SANTA BARBARA MUNICIPAL AIRPORT,676,4,9/8/2014,9/8/2014,4,68518
0101000020E61000000C5BB39597C956C098D711876C883E40,GB005,KBTR,BTR,"BATON ROUGE METROPOLITAN, RYAN FIELD",677,21,9/8/2014,9/8/2014,0,49020
0101000020E6100000EC1681B1BE225BC07B87DBA161E74640,GB005,KBIL,BIL,BILLINGS LOGAN INTERNATIONAL AIRPORT,679,1113,9/8/2014,9/8/2014,23,65538
0101000020E6100000302C7FBE2D6D59C049827005149C4140,GB005,KAMA,AMA,RICK HUSBAND AMARILLO INTERNATIONAL AIRPORT,680,1099,9/8/2014,9/8/2014,23,38213
0101000020E610000030D7A205687B62C0202922C32A345040,GB005,PAFA,FAI,FAIRBANKS INTERNATIONAL AIRPORT,681,134,9/8/2014,9/8/2014,23,82144
0101000020E610000038842A357BA056C099A0866F61B94440,GB005,KMLI,MLI,QUAD CITY INTERNATIONAL AIRPORT,682,180,9/8/2014,9/8/2014,23,25938
0101000020E61000000EA320787C4456C0B4ACFBC742683E40,GB005,KGPT,GPT,GULFPORT-BILOXI INTERNATIONAL AIRPORT,683,9,9/8/2014,9/8/2014,23,39240
0101000020E6100000B1A6B228EC8C59C07590D78349F13F40,GB005,KMAF,MAF,MIDLAND INTERNATIONAL AIRPORT,684,875,9/8/2014,9/8/2014,23,50336
0101000020E61000006500A8E2C62655C0E9263108AC044340,GB005,KLEX,LEX,BLUE GRASS AIRPORT,685,298,9/8/2014,9/8/2014,0,64990
0101000020E6100000E3C116BB7DED56C0C310397D3DF14440,GB005,KCID,CID,THE EASTERN IOWA AIRPORT,686,265,9/8/2014,9/8/2014,0,40709
0101000020E6100000FF756EDA8C1F53C0E0D91EBDE1904240,GB005,KPHF,PHF,NEWPORT NEWS/WILLIAMSBURG INTERNATIONAL AIRPORT,687,13,9/8/2014,9/8/2014,23,39643
0101000020E61000005307793D98EF54C05000C5C8927B4540,GB005,KFNT,FNT,BISHOP INTERNATIONAL AIRPORT,688,238,9/8/2014,9/8/2014,23,27428
0101000020E61000002655DB4DF0A452C0501A6A1492BA4340,GB005,KACY,ACY,ATLANTIC CITY INTERNATIONAL AIRPORT,689,23,9/8/2014,9/8/2014,23,45550
0101000020E610000092770E65A87459C0D2AC6C1FF2D44040,GB005,KLBB,LBB,LUBBOCK PRESTON SMITH INTERNATIONAL AIRPORT,691,1000,9/8/2014,9/8/2014,23,60601
0101000020E610000034BDC458A64754C0EAB303AE2BF84040,GB005,KCAE,CAE,COLUMBIA METROPOLITAN AIRPORT,692,72,9/8/2014,9/8/2014,0,49532
0101000020E6100000EB8CEF8B4B3E50C09DBE9EAF59563240,GB005,TIST,STT,CYRIL E KING AIRPORT,693,7,9/8/2014,9/8/2014,0,49251
0101000020E6100000DBBE47FDF5ED5DC0FBAC32535A634240,GB005,KFAT,FAT,FRESNO YOSEMITE INTERNATIONAL AIRPORT,694,102,9/8/2014,9/8/2014,23,75354
0101000020E610000064247B849AB155C08D9AAF928F514140,GB005,KHSV,HSV,HUNTSVILLE INTERNATIONAL AIRPORT-CARL T JONES FIELD,695,192,9/8/2014,9/8/2014,23,46026
0101000020E6100000AD68739CDB3053C04278B471C4184440,GB005,KMDT,MDT,HARRISBURG INTERNATIONAL AIRPORT,696,94,9/8/2014,9/8/2014,23,42263
0101000020E6100000C91AF5108D6163C0D384ED2763B83340,GB005,PHTO,ITO,HILO INTERNATIONAL AIRPORT,697,12,9/8/2014,9/8/2014,23,78256
0101000020E61000001348895DDB8456C0164CFC51D4274040,GB005,KJAN,JAN,JACKSON-EVERS INTERNATIONAL AIRPORT,698,105,9/8/2014,9/8/2014,23,35728
0101000020E6100000AC5791D1018E54C0A08D5C37A5724140,GB005,KGSP,GSP,GREENVILLE SPARTANBURG INTERNATIONAL AIRPORT,699,294,9/8/2014,9/8/2014,23,44828
0101000020E61000000BB3D0CE69BB53C05EBA490C02D74040,GB005,KMYR,MYR,MYRTLE BEACH INTERNATIONAL AIRPORT,700,8,9/8/2014,9/8/2014,23,115307
0101000020E6100000321F10E84C5C54C0F5B52E3542754440,GB005,KCAK,CAK,AKRON-CANTON REGIONAL AIRPORT,701,374,9/8/2014,9/8/2014,0,52818
0101000020E61000004CFC51D4995556C0BF0AF0DDE6914540,GB005,KMSN,MSN,DANE COUNTY REGIONAL-TRUAX FIELD,702,270,9/8/2014,9/8/2014,0,65064
0101000020E6100000904C874ECF4952C001A1F5F0653C4640,GB005,KBTV,BTV,BURLINGTON INTERNATIONAL AIRPORT,703,102,9/8/2014,9/8/2014,23,52448
0101000020E6100000C710001C7BA354C0416667D13B653B40,GB005,KSRQ,SRQ,SARASOTA/BRADENTON INTERNATIONAL AIRPORT,704,9,9/8/2014,9/8/2014,23,76288
0101000020E6100000A1427573F1CB55C07A13437232793E40,GB005,KPNS,PNS,PENSACOLA REGIONAL AIRPORT,705,37,9/8/2014,9/8/2014,0,73262
0101000020E610000014C5ABAC6D205DC004C93B8732EA4040,GB005,KPSP,PSP,PALM SPRINGS INTERNATIONAL AIRPORT,706,145,9/8/2014,9/8/2014,23,48625
0101000020E61000008A558330B75B58C09F1D705D31D34240,GB005,KICT,ICT,WICHITA MID-CONTINENT AIRPORT,707,406,9/8/2014,9/8/2014,0,95197
0101000020E6100000BBD39D279EFF54C061FC34EECDE74140,GB005,KTYS,TYS,MC GHEE TYSON AIRPORT,708,299,9/8/2014,9/8/2014,0,88246
0101000020E6100000D4D7F335CB9351C09160AA99B5D24540,GB005,KPWM,PWM,PORTLAND INTERNATIONAL AIRPORT,709,23,9/8/2014,9/8/2014,23,48899
0101000020E6100000C4094CA7756155C0681EC022BF704540,GB005,KGRR,GRR,GERALD R. FORD INTERNATIONAL AIRPORT,710,242,9/8/2014,9/8/2014,23,67900
0101000020E6100000AB05F698486D52C0EA54F99E91884440,GB005,KHPN,HPN,WESTCHESTER COUNTY AIRPORT,711,134,9/8/2014,9/8/2014,0,151048
